rank,pls_min_mv,driver,points,back,starts,pole,win,top_5,top_10,winnings,year,race_num
1,--,Ward Burton,180,0,1,1,1,1,1,"$1,409,017",2002,1
2,--,Elliott Sadler,170,-10,1,0,0,1,1,"$977,324",2002,1
3,--,Geoffrey Bodine,165,-15,1,0,0,1,1,"$696,328",2002,1
4,--,Kurt Busch,165,-15,1,1,0,1,1,"$552,028",2002,1
5,--,Michael Waltrip,160,-20,1,0,0,1,1,"$462,043",2002,1
6,--,Sterling Marlin,152,-28,1,0,0,0,1,"$313,446",2002,1
7,--,Mark Martin,150,-30,1,0,0,0,1,"$354,087",2002,1
8,--,Ryan Newman,146,-34,1,6,0,0,1,"$297,078",2002,1
9,--,Jeff Gordon,143,-37,1,3,0,0,1,"$392,741",2002,1
10,--,Johnny Benson Jr,134,-46,1,0,0,0,1,"$219,024",2002,1
11,--,Jeff Burton,132,-48,1,0,0,0,0,"$222,135",2002,1
12,--,Bill Elliott,130,-50,1,4,0,0,0,"$237,384",2002,1
13,--,Robby Gordon,124,-56,1,0,0,0,0,"$207,449",2002,1
14,--,Dale Jarrett,121,-59,1,1,0,0,0,"$240,304",2002,1
15,--,Jimmie Johnson,118,-62,1,4,0,0,0,"$179,551",2002,1
16,--,Brett Bodine,115,-65,1,0,0,0,0,"$178,488",2002,1
17,--,Ricky Craven,112,-68,1,2,0,0,0,"$203,053",2002,1
18,--,Rusty Wallace,109,-71,1,1,0,0,0,"$245,048",2002,1
19,--,Jeff Green,106,-74,1,0,0,0,0,"$195,497",2002,1
20,--,Terry Labonte,103,-77,1,0,0,0,0,"$247,237",2002,1
21,--,Mike Wallace,100,-80,1,0,0,0,0,"$196,319",2002,1
22,--,Robert Pressley,97,-83,1,0,0,0,0,"$168,793",2002,1
23,--,Mike Skinner,94,-86,1,0,0,0,0,"$168,368",2002,1
24,--,Shawna Robinson,91,-89,1,0,0,0,0,"$163,493",2002,1
25,--,Ken Schrader,90,-90,1,0,0,0,0,"$240,004",2002,1
26,--,Dave Blaney,88,-92,1,0,0,0,0,"$173,825",2002,1
27,--,Jerry Nadeau,84,-96,1,0,0,0,0,"$195,243",2002,1
28,--,Stacy Compton,82,-98,1,0,0,0,0,"$193,097",2002,1
29,--,Dale Earnhardt Jr,76,-104,1,2,0,0,0,"$313,204",2002,1
30,--,Kenny Wallace,73,-107,1,0,0,0,0,"$227,023",2002,1
31,--,Todd Bodine,70,-110,1,1,0,0,0,"$195,098",2002,1
32,--,Matt Kenseth,69,-111,1,1,0,0,0,"$165,499",2002,1
33,--,Bobby Hamilton,67,-113,1,0,0,0,0,"$165,599",2002,1
34,--,Bobby Labonte,66,-114,1,0,0,0,0,"$250,676",2002,1
35,--,Kevin Harvick,60,-120,1,1,0,0,0,"$218,321",2002,1
36,--,Casey Atwood,58,-122,1,0,0,0,0,"$181,197",2002,1
37,--,John Andretti,57,-123,1,0,0,0,0,"$184,676",2002,1
38,--,Ricky Rudd,49,-131,1,1,0,0,0,"$236,970",2002,1
39,--,Jeremy Mayfield,46,-134,1,0,0,0,0,"$164,393",2002,1
40,--,Joe Nemechek,43,-137,1,0,0,0,0,"$179,686",2002,1
41,--,Kyle Petty,40,-140,1,0,0,0,0,"$154,299",2002,1
42,--,Dave Marcis,37,-143,1,0,0,0,0,"$134,959",2002,1
43,--,Tony Stewart,34,-146,1,2,0,0,0,"$436,687",2002,1
1,+5,Sterling Marlin,327,0,2,0,0,1,2,"$422,976",2002,2
2,-1,Ward Burton,309,-18,2,1,1,1,1,"$1,486,830",2002,2
3,+1,Kurt Busch,292,-35,2,1,0,1,1,"$589,226",2002,2
4,+5,Jeff Gordon,289,-38,2,3,0,0,2,"$429,256",2002,2
5,+6,Jeff Burton,282,-45,2,0,0,0,1,"$297,603",2002,2
6,+11,Ricky Craven,272,-55,2,2,0,1,1,"$257,016",2002,2
7,+1,Ryan Newman,267,-60,2,6,0,0,1,"$355,151",2002,2
8,+4,Bill Elliott,260,-67,2,4,0,0,0,"$297,313",2002,2
9,+23,Matt Kenseth,254,-73,2,1,1,1,1,"$305,062",2002,2
10,+8,Rusty Wallace,251,-76,2,1,0,0,1,"$317,025",2002,2
11,-4,Mark Martin,250,-77,2,0,0,0,1,"$416,743",2002,2
12,-10,Elliott Sadler,240,-87,2,0,0,1,1,"$1,032,000",2002,2
13,+21,Bobby Labonte,231,-96,2,0,0,1,1,"$341,521",2002,2
14,-4,Johnny Benson Jr,228,-99,2,0,0,0,1,"$275,472",2002,2
15,+4,Jeff Green,223,-104,2,0,0,0,0,"$220,199",2002,2
16,+4,Terry Labonte,218,-109,2,0,0,0,0,"$301,918",2002,2
17,-4,Robby Gordon,215,-112,2,0,0,0,0,"$257,832",2002,2
18,+12,Kenny Wallace,207,-120,2,0,0,0,1,"$292,300",2002,2
19,+14,Bobby Hamilton,205,-122,2,0,0,0,1,"$224,197",2002,2
20,-15,Michael Waltrip,203,-124,2,0,0,1,1,"$464,975",2002,2
21,-6,Jimmie Johnson,197,-130,2,4,0,0,0,"$202,997",2002,2
22,+21,Tony Stewart,194,-133,2,2,0,1,1,"$510,282",2002,2
23,-7,Brett Bodine,188,-139,2,0,0,0,0,"$215,151",2002,2
24,+2,Dave Blaney,185,-142,2,0,0,0,0,"$221,769",2002,2
25,+12,John Andretti,175,-152,2,0,0,0,0,"$242,186",2002,2
26,+1,Jerry Nadeau,172,-155,2,0,0,0,0,"$217,170",2002,2
27,+8,Kevin Harvick,166,-161,2,1,0,0,0,"$280,626",2002,2
28,-25,Geoffrey Bodine,165,-162,1,0,0,1,1,"$688,641",2002,2
29,-15,Dale Jarrett,163,-164,2,1,0,0,0,"$309,855",2002,2
30,+8,Ricky Rudd,163,-164,2,1,0,0,0,"$298,935",2002,2
31,-2,Dale Earnhardt Jr,161,-166,2,2,0,0,0,"$356,479",2002,2
32,-11,Mike Wallace,149,-178,2,0,0,0,0,"$225,847",2002,2
33,-10,Mike Skinner,149,-178,2,0,0,0,0,"$189,185",2002,2
34,-9,Ken Schrader,148,-179,2,0,0,0,0,"$258,192",2002,2
35,-4,Todd Bodine,137,-190,2,1,0,0,0,"$218,490",2002,2
36,+3,Jeremy Mayfield,122,-205,2,0,0,0,0,"$196,332",2002,2
37,-9,Stacy Compton,116,-211,2,0,0,0,0,"$212,723",2002,2
38,+2,Joe Nemechek,107,-220,2,0,0,0,0,"$225,936",2002,2
39,-3,Casey Atwood,104,-223,2,0,0,0,0,"$201,329",2002,2
40,--,Jimmy Spencer,103,-224,1,0,0,0,0,"$94,648",2002,2
41,-19,Robert Pressley,97,-230,1,0,0,0,0,"$150,859",2002,2
42,-1,Kyle Petty,92,-235,2,0,0,0,0,"$175,112",2002,2
43,-19,Shawna Robinson,91,-236,1,0,0,0,0,"$145,609",2002,2
44,--,Hut Stricklin,82,-245,1,0,0,0,0,"$71,697",2002,2
45,--,Rick Mast,61,-266,1,0,0,0,0,"$59,487",2002,2
46,--,Buckshot Jones,40,-287,1,0,0,0,0,"$59,674",2002,2
47,-5,Dave Marcis,37,-290,1,0,0,0,0,"$137,110",2002,2
1,--,Sterling Marlin,507,0,3,0,1,2,3,"$835,818",2002,3
2,+5,Ryan Newman,432,-75,3,6,0,1,2,"$517,276",2002,3
3,+2,Jeff Burton,420,-87,3,0,0,0,2,"$417,170",2002,3
4,+7,Mark Martin,415,-92,3,0,0,1,2,"$615,976",2002,3
5,-3,Ward Burton,414,-93,3,1,1,1,1,"$1,593,100",2002,3
6,+2,Bill Elliott,402,-105,3,4,0,0,1,"$405,669",2002,3
7,-3,Jeff Gordon,401,-106,3,3,0,0,2,"$545,909",2002,3
8,-5,Kurt Busch,400,-107,3,1,0,1,1,"$657,051",2002,3
9,+1,Rusty Wallace,381,-126,3,1,0,0,1,"$430,950",2002,3
10,-1,Matt Kenseth,375,-132,3,1,1,1,1,"$393,937",2002,3
11,+11,Tony Stewart,359,-148,3,2,0,2,2,"$664,235",2002,3
12,+1,Bobby Labonte,358,-149,3,0,0,1,1,"$456,474",2002,3
13,+8,Jimmie Johnson,352,-155,3,4,0,0,1,"$288,347",2002,3
14,-8,Ricky Craven,342,-165,3,2,0,1,1,"$320,091",2002,3
