team_ind,team_other_ind,diff
1,1,NA
1,2,NA
1,3,NA
1,4,NA
1,5,NA
1,6,NA
1,7,NA
1,8,NA
1,9,NA
1,10,NA
1,11,NA
1,12,NA
1,13,NA
1,14,NA
1,15,NA
1,16,NA
1,17,NA
1,18,NA
1,19,NA
1,20,NA
1,21,NA
1,22,NA
1,23,NA
1,24,NA
1,25,NA
1,26,1
1,27,NA
1,28,NA
1,29,NA
1,30,NA
1,31,NA
1,32,NA
2,1,NA
2,2,NA
2,3,NA
2,4,NA
2,5,NA
2,6,NA
2,7,NA
2,8,NA
2,9,NA
2,10,NA
2,11,NA
2,12,NA
2,13,NA
2,14,NA
2,15,NA
2,16,NA
2,17,NA
2,18,NA
2,19,NA
2,20,3
2,21,NA
2,22,NA
2,23,NA
2,24,NA
2,25,NA
2,26,NA
2,27,NA
2,28,NA
2,29,NA
2,30,NA
2,31,NA
2,32,NA
3,1,NA
3,2,NA
3,3,NA
3,4,NA
3,5,NA
3,6,NA
3,7,-7
3,8,NA
3,9,NA
3,10,NA
3,11,NA
3,12,NA
3,13,NA
3,14,NA
3,15,NA
3,16,NA
3,17,NA
3,18,NA
3,19,NA
3,20,NA
3,21,NA
3,22,NA
3,23,NA
3,24,NA
3,25,NA
3,26,NA
3,27,NA
3,28,NA
3,29,NA
3,30,NA
3,31,NA
3,32,NA
4,1,NA
4,2,NA
4,3,NA
4,4,NA
4,5,NA
4,6,3
4,7,NA
4,8,NA
4,9,NA
4,10,NA
4,11,NA
4,12,NA
4,13,NA
4,14,NA
4,15,NA
4,16,NA
4,17,NA
4,18,NA
4,19,NA
4,20,NA
4,21,NA
4,22,NA
4,23,NA
4,24,NA
4,25,NA
4,26,NA
4,27,NA
4,28,NA
4,29,NA
4,30,NA
4,31,NA
4,32,NA
5,1,NA
5,2,NA
5,3,NA
5,4,NA
5,5,NA
5,6,NA
5,7,NA
5,8,NA
5,9,NA
5,10,NA
5,11,NA
5,12,NA
5,13,NA
5,14,NA
5,15,NA
5,16,NA
5,17,NA
5,18,NA
5,19,NA
5,20,NA
5,21,NA
5,22,NA
5,23,NA
5,24,NA
5,25,NA
5,26,NA
5,27,NA
5,28,NA
5,29,NA
5,30,6
5,31,NA
5,32,NA
6,1,NA
6,2,NA
6,3,NA
6,4,-3
6,5,NA
6,6,NA
6,7,NA
6,8,NA
6,9,NA
6,10,NA
6,11,NA
6,12,NA
6,13,NA
6,14,NA
6,15,NA
6,16,NA
6,17,NA
6,18,NA
6,19,NA
6,20,NA
6,21,NA
6,22,NA
6,23,NA
6,24,NA
6,25,NA
6,26,NA
6,27,NA
6,28,NA
6,29,NA
6,30,NA
6,31,NA
6,32,NA
7,1,NA
7,2,NA
7,3,7
7,4,NA
7,5,NA
7,6,NA
7,7,NA
7,8,NA
7,9,NA
7,10,NA
7,11,NA
7,12,NA
7,13,NA
7,14,NA
7,15,NA
7,16,NA
7,17,NA
7,18,NA
7,19,NA
7,20,NA
7,21,NA
7,22,NA
7,23,NA
7,24,NA
7,25,NA
7,26,NA
7,27,NA
7,28,NA
7,29,NA
7,30,NA
7,31,NA
7,32,NA
8,1,NA
8,2,NA
8,3,NA
8,4,NA
8,5,NA
8,6,NA
8,7,NA
8,8,NA
8,9,NA
8,10,NA
8,11,NA
8,12,NA
8,13,NA
8,14,NA
8,15,NA
8,16,NA
8,17,NA
8,18,NA
8,19,NA
8,20,NA
8,21,NA
8,22,NA
8,23,NA
8,24,NA
8,25,-3
8,26,NA
8,27,NA
8,28,NA
8,29,NA
8,30,NA
8,31,NA
8,32,NA
9,1,NA
9,2,NA
9,3,NA
9,4,NA
9,5,NA
9,6,NA
9,7,NA
9,8,NA
9,9,NA
9,10,NA
9,11,NA
9,12,NA
9,13,NA
9,14,NA
9,15,NA
9,16,NA
9,17,NA
9,18,NA
9,19,NA
9,20,NA
9,21,NA
9,22,NA
9,23,NA
9,24,NA
9,25,NA
9,26,NA
9,27,NA
9,28,-11
9,29,NA
9,30,NA
9,31,NA
9,32,NA
10,1,NA
10,2,NA
10,3,NA
10,4,NA
10,5,NA
10,6,NA
10,7,NA
10,8,NA
10,9,NA
10,10,NA
10,11,NA
10,12,NA
10,13,NA
10,14,7
10,15,NA
10,16,NA
10,17,NA
10,18,NA
10,19,NA
10,20,NA
10,21,NA
10,22,NA
10,23,NA
10,24,NA
10,25,NA
10,26,NA
10,27,NA
10,28,NA
10,29,NA
10,30,NA
10,31,NA
10,32,NA
11,1,NA
11,2,NA
11,3,NA
11,4,NA
11,5,NA
11,6,NA
11,7,NA
11,8,NA
11,9,NA
11,10,NA
11,11,NA
11,12,NA
11,13,NA
11,14,NA
11,15,NA
11,16,NA
11,17,NA
11,18,NA
11,19,NA
11,20,NA
11,21,21
11,22,NA
11,23,NA
11,24,NA
11,25,NA
11,26,NA
11,27,NA
11,28,NA
11,29,NA
11,30,NA
11,31,NA
11,32,NA
12,1,NA
12,2,NA
12,3,NA
12,4,NA
12,5,NA
12,6,NA
12,7,NA
12,8,NA
12,9,NA
12,10,NA
12,11,NA
12,12,NA
12,13,NA
12,14,NA
12,15,NA
12,16,NA
12,17,NA
12,18,NA
12,19,NA
12,20,NA
12,21,NA
12,22,NA
12,23,NA
12,24,NA
12,25,NA
12,26,NA
12,27,-20
12,28,NA
12,29,NA
12,30,NA
12,31,NA
12,32,NA
13,1,NA
13,2,NA
13,3,NA
13,4,NA
13,5,NA
13,6,NA
13,7,NA
13,8,NA
13,9,NA
13,10,NA
13,11,NA
13,12,NA
13,13,NA
13,14,NA
13,15,NA
13,16,NA
13,17,NA
13,18,NA
13,19,NA
13,20,NA
13,21,NA
13,22,NA
13,23,NA
13,24,NA
13,25,NA
13,26,NA
13,27,NA
13,28,NA
13,29,NA
13,30,NA
13,31,NA
13,32,11
14,1,NA
14,2,NA
14,3,NA
14,4,NA
14,5,NA
14,6,NA
14,7,NA
14,8,NA
14,9,NA
14,10,-7
14,11,NA
14,12,NA
14,13,NA
14,14,NA
14,15,NA
14,16,NA
14,17,NA
14,18,NA
14,19,NA
14,20,NA
14,21,NA
14,22,NA
14,23,NA
14,24,NA
14,25,NA
14,26,NA
14,27,NA
14,28,NA
14,29,NA
14,30,NA
14,31,NA
14,32,NA
15,1,NA
15,2,NA
15,3,NA
15,4,NA
15,5,NA
15,6,NA
15,7,NA
15,8,NA
15,9,NA
15,10,NA
